,country,country_code,area,OID
299,Gabon,GAB,1898677667,219
300,Gabon,GAB,2.62E+11,220
301,Georgia,GEO,763707.1002,224
302,Georgia,GEO,4005381.615,225
303,Georgia,GEO,1.27E+11,226
304,Germany,DEU,2862401198,229
305,Greece,GRC,104502478.7,235
306,Greece,GRC,12229550505,236
307,Greece,GRC,27049286035,237
308,Greece,GRC,1.81E+11,238
309,Grenada,GRD,3105456.932,244
310,Grenada,GRD,374426126.6,245
311,France,GLP,2569114.845,246
312,France,GLP,214113723.5,247
313,France,GLP,1582461020,248
314,United States,GUM,479391.1128,249
315,United States,GUM,584504029.5,250
316,Guatemala,GTM,69578.67533,251
317,Guatemala,GTM,1.18E+11,252
318,Guyana,GUY,5007241.688,261
319,Guyana,GUY,238317315.7,262
320,Guyana,GUY,2.13E+11,263
321,Haiti,HTI,2678653.685,264
322,Haiti,HTI,322417274.2,265
323,Haiti,HTI,770867690.8,266
324,Haiti,HTI,29229179161,267
325,Honduras,HND,4612189.922,270
326,Honduras,HND,398102661.9,271
327,Honduras,HND,1.20E+11,272
328,India,IND,87798814.46,277
329,India,IND,9737024503,278
330,India,IND,7101664344,279
331,India,IND,3.76E+12,280
332,Indonesia,IDN,657914006.7,281
333,Indonesia,IDN,44057512328,282
334,Indonesia,IDN,1.28E+11,283
335,Indonesia,IDN,50634905010,284
336,Indonesia,IDN,1.69E+12,285
337,Iran,IRN,13374642.9,286
338,Iran,IRN,1544066194,287
339,Iran,IRN,1879622041,288
340,Iran,IRN,2.30E+12,289
341,Iraq,IRQ,13840142.02,290
342,Iraq,IRQ,6.25E+11,291
344,Israel,ISR,28520189183,299
345,Jamaica,JAM,2061151.764,303
346,Jamaica,JAM,5902121.68,304
347,Jamaica,JAM,12245169424,305
348,Japan,JPN,179297740.5,306
349,Japan,JPN,10080968602,307
350,Japan,JPN,6971148873,308
351,Japan,JPN,5.82E+11,309
352,Jordan,JOR,1.23E+11,312
353,Kazakhstan,KAZ,126352390.6,313
354,Kazakhstan,KAZ,1961663627,314
355,Kazakhstan,KAZ,6.15E+12,315
356,Kenya,KEN,10000181.35,316
357,Kenya,KEN,318333771.7,317
358,Kenya,KEN,5.88E+11,318
359,Kiribati,KIR,19540530.83,319
360,Kiribati,KIR,998481203.1,320
361,Kuwait,KWT,3225591.033,321
362,Kuwait,KWT,230260099.9,322
363,Kuwait,KWT,1084172018,323
364,Kuwait,KWT,21755607394,324
365,Kyrgyzstan,KGZ,3.56E+11,325
366,Laos,LAO,2.57E+11,326
367,Latvia,LVA,62356.29941,327
368,Latvia,LVA,49419788.66,328
369,Latvia,LVA,2.15E+11,329
370,Lebanon,LBN,533272.6987,330
371,Lebanon,LBN,14860233643,331
372,Lesotho,LSO,40554551549,332
373,Libya,LBY,1875893.869,337
374,Lithuania,LTU,677645.5158,340
375,Lithuania,LTU,165411707.4,341
376,Lithuania,LTU,2.00E+11,342
377,Luxembourg,LUX,6217307240,343
378,Madagascar,MDG,71178301.38,344
379,Madagascar,MDG,1304907055,345
380,Madagascar,MDG,6.68E+11,346
381,Malawi,MWI,1.26E+11,347
